data_id,iso,event_id_cnty,event_id_no_cnty,event_date,year,time_precision,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,timestamp,iso3
,,#event+code,,#date+occurred,#date+year,,#event+type,,#group+name+first,#group+name+first+assoc,,#group+name+second,#group+name+second+assoc,,,#region+name,#country+name,#adm1+name,#adm2+name,#adm3+name,#loc+name,#geo+lat,#geo+lon,,#meta+source,,#description,#affected+killed,,#country+code
7228923,152,CHI4454,4454,2020-09-18,2020,1,Riots,Mob violence,Rioters (Chile),,5,Civilians (Chile),Health Workers (Chile),7,57,South America,Chile,Valparaiso,San Antonio,San Antonio,Cartagena,-33.5538,-71.6076,1,Lider San Antonio,Subnational,"On 18 September 2020, in Cartagena, Valparaiso region, a group of nearly 10 rioters attacked an ambulance and a military truck with rocks and other objects. The health workers were attending an emergency call when the group, started the attack. The military car was attending the call of the workers attacked. No injuries were reported. [size=nearly 10]",0,1600726063,CHL
7228555,152,CHI4451,4451,2020-09-17,2020,1,Riots,Violent demonstration,Rioters (Chile),Mapuche Indigenous Group (Chile),5,,,0,50,South America,Chile,Araucania,Malleco,Ercilla,Ercilla,-38.0632,-72.3743,2,Biobio Chile; El Austral Temuco,Subnational-National,"On 17 September 2020, near Ercilla, Araucania region, a group of demonstrators used a car as a barricade across the Route 5. The group burned down the vehicle, interrupting the traffic for several hours. Near the area, a banner demanding the release of arrested Mapuche individuals was found. A second source reported armed confrontations, but this version has yet to be confirmed. [size=no report]",0,1600726062,CHL
7228583,152,CHI4452,4452,2020-09-17,2020,1,Riots,Mob violence,Rioters (Chile),Vigilante Group (Chile),5,Civilians (Chile),,7,57,South America,Chile,Metropolitana,Cordillera,Puente Alto,Puente Alto,-33.6183,-70.5899,1,Biobio Chile,National,"On 17 September 2020, in Puente Alto, Metropolitana, a group of nearly 50 rioters attacked a group of civilians that were allegedly robbing a woman. The victims had to be interned in the hospital due to their injuries. [size=nearly 50]",0,1600726062,CHL
7228868,152,CHI4450,4450,2020-09-17,2020,2,Protests,Peaceful protest,Protesters (Chile),,6,,,0,60,South America,Chile,Arica y Parinacota,Arica,Arica,Arica,-18.4746,-70.2979,1,La Estrella Arica,Subnational,"Around 17 September 2020, in Arica, Arica y Parinacota region, residents of the Agtima neighborhood protested over an increase of insecurity in the area. The protested followed a robbery that resulted in one person killed. The group demanded more police presence. [size=no report]",0,1600726063,CHL
7228924,152,CHI4453,4453,2020-09-17,2020,1,Protests,Peaceful protest,Protesters (Chile),,6,,,0,60,South America,Chile,Valparaiso,San Antonio,Santo Domingo,Santo Domingo,-33.6376,-71.6239,1,Lider San Antonio,Subnational,"On 17 September 2020, in Santo Domingo, Valparaiso region, residents protested against the mobility restrictions imposed due to the coronavirus outbreak. The group claimed that the regulation affected their everyday lives, including work. Protesters demand more flexible regulations for residents. [size=no report]",0,1600726063,CHL
7228553,152,CHI4447,4447,2020-09-16,2020,1,Riots,Mob violence,Rioters (Chile),,5,Police Forces of Chile (2018-),,1,15,South America,Chile,Metropolitana,Santiago,Lo Espejo,Lo Espejo,-33.5494,-70.6915,1,Biobio Chile; La Nacion (Chile),National,"On 16 September 2020, in Lo Espejo, Metropolitana, a group of nearly 30 people gathered in the wake of a funeral. Riots broke out as police forces attempted to enforce the no large-gathering law created over the coronavirus pandemic. Police used water cannons to disperse the group. 5 people were arrested. [size=nearly 30]",0,1600726062,CHL
7228554,152,CHI4449,4449,2020-09-16,2020,1,Riots,Violent demonstration,Rioters (Chile),Mapuche Indigenous Group (Chile),5,Police Forces of Chile (2018-),,1,15,South America,Chile,Araucania,Cautin,Temuco,Temuco,-38.7397,-72.5984,1,Biobio Chile; El Austral Temuco,Subnational-National,"On 16 September 2020, in Temuco, Araucania region, nearly 200 Mapuche indigenous people demonstrated against police brutality and excessive use of force against members of the community. The group clashed against police forces when state forces attempted to disperse the group. 21 people were arrested and 5 police officers were reported injured. [size=nearly 200]",0,1600726062,CHL
7228869,152,CHI4448,4448,2020-09-16,2020,1,Riots,Violent demonstration,Rioters (Chile),,5,Civilians (Chile),Labour Group (Chile),7,57,South America,Chile,Biobio,Concepcion,Penco,Penco,-36.7331,-72.9826,2,La Estrella Concepcion,Subnational,"On 16 September 2020, in route 150 near Penco, Biobio region, a group of demonstrators set on fire a barricade across the road. A bus driver was reported injured when another car ran over him while attempting to remove the blockage. The motive for the demonstration was not mentioned by the source. [size=no report]",0,1600726063,CHL
7228723,152,CHI4445,4445,2020-09-15,2020,1,Protests,Peaceful protest,Protesters (Chile),LGBT (Chile),6,,,0,60,South America,Chile,Metropolitana,Santiago,Santiago Centro,Santiago,-33.4569,-70.6483,1,El Mercurio (Chile),National,"On 15 September 2020, in Santiago, Metropolitana, members of the LGBT community protested against the lack of enactment of laws to improve inclusion and promotion of rights for member of LGBT groups. The group demanded the dismissal of the Minister of Equality, claiming a lack of action to perform her tasks. [size=no report]",0,1600726063,CHL
7228552,152,CHI4446,4446,2020-09-15,2020,1,Violence against civilians,Attack,Indigenous Militia (Chile),,4,Civilians (Chile),Labour Group (Chile),7,47,South America,Chile,Biobio,Arauco,Tirua,Tirua,-38.3418,-73.4915,2,El Sur; La Estrella Concepcion; Biobio Chile,Subnational,"On 15 September 2020, near Tirua, Biobio region, suspected indigenous militiamen attacked a group of workers of a local logging company. The armed men opened fire against the group when these were arriving at their workplace on buses in Route P-95. Subsequently, perpetrators set a vehicle on fire before running away. Two workers were reported injured.",0,1600726062,CHL
7228666,152,CHI4444,4444,2020-09-15,2020,3,Protests,Peaceful protest,Protesters (Chile),,6,,,0,60,South America,Chile,Los Lagos,Osorno,Osorno,Osorno,-40.5740,-73.1335,1,El Austral Osorno,Subnational,"Around 15 September 2020 (month of), in Osorno, Los Lagos region, citizens protested over delays in the construction of a social housing project. Protesters claimed that there is a lack of information in the advances of the designs. [size=no report]",0,1600726063,CHL
7228675,152,CHI4441,4441,2020-09-14,2020,1,Protests,Peaceful protest,Protesters (Chile),Women (Chile),6,,,0,60,South America,Chile,Metropolitana,Santiago,Santiago Centro,Santiago,-33.4569,-70.6483,1,El Austral Temuco,National,"On 14 September 2020, in Santiago, Metropolitana, a group of women protested against the increasing violence in the south of the country. The group gathered to deliver a letter to show their support to the victims of arson attacks and raise awareness about the conflict in the southern regions of the country. [size=no report]",0,1600726063,CHL
7228722,152,CHI4438,4438,2020-09-14,2020,1,Protests,Protest with intervention,Protesters (Chile),Mapuche Indigenous Group (Chile),6,Police Forces of Chile (2018-),,1,16,South America,Chile,Araucania,Malleco,Collipulli,Collipulli,-37.9545,-72.4344,2,El Mercurio (Chile),National,"On 14 September 2020, in the rural area of Collipulli, Araucania region, members of the Mapuche community occupied a plot of land, claiming it belonged to the indigenous community. The building was burned down by unidentified perpetrators the day before the occupation. Police arrived and evicted the group. [size=no report]",0,1600726063,CHL
7228550,152,CHI4437,4437,2020-09-14,2020,1,Protests,Peaceful protest,Protesters (Chile),,6,,,0,60,South America,Chile,Biobio,Arauco,Canete,Canete,-37.8000,-73.3833,1,La Estrella Concepcion; La Nacion (Chile),Subnational-National,"On 14 September 2020, in Canete, Biobio region, a group of nearly 500 citizens protested to demand justice in a case of a person killed by suspected indigenous militiamen. The group marched through the streets demanding advances in the police investigation. [size=nearly 500]",0,1600726062,CHL
7228551,152,CHI4439,4439,2020-09-14,2020,1,Battles,Armed clash,Indigenous Militia (Chile),,4,Police Forces of Chile (2018-),,1,14,South America,Chile,Araucania,Malleco,Ercilla,Ercilla,-38.0632,-72.3743,1,La Nacion (Chile); Biobio Chile,National,"On 14 September 2020, in Ercilla, Araucania region, Araucania region, suspected indigenous militiamen attacked a group of police officers near the police station. The group opened fire and subsequently ran away in a pick-up truck. Two police officers were reported injured by pieces of glass.",0,1600726062,CHL
7228581,152,CHI4443,4443,2020-09-14,2020,1,Riots,Violent demonstration,Rioters (Chile),,5,Police Forces of Chile (2018-),,1,15,South America,Chile,Los Rios,Valdivia,Valdivia,Valdivia,-39.8142,-73.2459,2,Biobio Chile,National,"On 14 September 2020, near Valdivia, Los Rios region, a group of demonstrators clashed against police forces. The group built barricades to block the route T-340 in Pellines. The motive for the demonstration was no reported by the source. [size=no report]",0,1600726062,CHL
7228582,152,CHI4440,4440,2020-09-14,2020,1,Protests,Peaceful protest,Protesters (Chile),,6,,,0,60,South America,Chile,Metropolitana,Santiago,La Reina,La Reina,-33.4416,-70.5442,1,Biobio Chile,National,"On 14 September 2020, in La Reina, Metropolitana, a group of residents protested against the selling of a public plot of land. The group claimed that the area should be used for the construction of social housing. [size=no report]",0,1600726062,CHL
7228922,152,CHI4442,4442,2020-09-14,2020,1,Protests,Protest with intervention,Protesters (Chile),,6,Police Forces of Chile (2018-),,1,16,South America,Chile,Valparaiso,San Antonio,Santo Domingo,Santo Domingo,-33.6376,-71.6239,1,Lider San Antonio,Subnational,"On 14 September 2020, in Santo Domingo, Valparaiso region, nearly 50 residents protested against the mobility restrictions imposed due to the coronavirus outbreak. The group claimed that the regulation affected their everyday lives, including work. Protesters blocked the bridge that connects the commune with San Antonio. Police dispersed the group. [size=nearly 50]",0,1600726063,CHL
7228672,152,CHI4435,4435,2020-09-13,2020,1,Strategic developments,Looting/property destruction,Indigenous Militia (Chile),,4,Civilians (Chile),,7,47,South America,Chile,Araucania,Malleco,Collipulli,Collipulli,-37.9545,-72.4344,2,El Austral Temuco,Subnational,"On 13 September 2020, in the route that connects Collipulli with Angol, Araucania region, a private house and a barn was set on fire by unidentified perpetrators. The victim claimed that she had received threats on the previous days by members of the Mapuche indigenous community and the same plot was occupied and by some Mapuche indigenous people.",0,1600726063,CHL
7228903,152,CHI4434,4434,2020-09-13,2020,1,Protests,Peaceful protest,Protesters (Chile),,6,,,0,60,South America,Chile,Biobio,Arauco,Canete,Canete,-37.8000,-73.3833,1,La Nacion (Chile),National,"On 13 September 2020, in Canete, Biobio region, a group of citizens protested to demand justice in a case of a person killed by suspected indigenous militiamen. The group gathered near the house of the victim and carried candles to demand advances in the police investigation. [size=no report]",0,1600726063,CHL
7228661,152,CHI4436,4436,2020-09-13,2020,1,Riots,Mob violence,Rioters (Chile),,5,Police Forces of Chile (2018-),,1,15,South America,Chile,Los Lagos,Osorno,Osorno,Osorno,-40.5740,-73.1335,1,El Austral Osorno,Subnational,"On 13 September 2020, in Osorno, Los Lagos region, riots broke out when police attempted to carry out a police control to check a report of domestic violence in an illegal settlement in Rahue Bajo neighbourhood. A group of residents attacked the officers resulting in three officers injured and seven people arrested. [size=at least 7]",0,1600726063,CHL
