data_id,iso,event_id_cnty,event_id_no_cnty,event_date,year,time_precision,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,timestamp,iso3
,,#event+code,,#date+occurred,#date+year,,#event+type,,#group+name+first,#group+name+first+assoc,,#group+name+second,#group+name+second+assoc,,,#region+name,#country+name,#adm1+name,#adm2+name,#adm3+name,#loc+name,#geo+lat,#geo+lon,,#meta+source,,#description,#affected+killed,,#country+code
7228726,218,ECU716,716,2020-09-19,2020,1,Protests,Peaceful protest,Protesters (Ecuador),,6,,,0,60,South America,Ecuador,Azuay,Cuenca,Cuenca,Cuenca,-2.9006,-79.0045,1,El Mercurio (Ecuador),National,"On 19 September 2020, in Cuenca, Azuay, a group of citizens staged a demonstration in Calderon park, demanding that the President should veto the recently approved Health Code. Among other things, the Code determines that abortion can be treated as a gynecological-obstetric emergency. [size=no report]",0,1600726063,ECU
7228693,218,ECU715,715,2020-09-18,2020,1,Protests,Peaceful protest,Protesters (Ecuador),Students (Ecuador); Teachers (Ecuador); Labour Group (Ecuador),6,,,0,60,South America,Ecuador,Pichincha,Quito,Quito,Quito,-0.2299,-78.5250,1,El Comercio (Ecuador),National,"On 18 September 2020, in Quito, Pichincha, a group of students, teachers and administrative workers of the National Polytechnical School (EPN) marched through the city towards the Constitutional Court, against the budget cuts to public universities, implemented to deal with the economic impact of the coronavirus lockdown measures. [size=no report]",0,1600726063,ECU
7228714,218,ECU714,714,2020-09-17,2020,1,Protests,Peaceful protest,Protesters (Ecuador),Women (Ecuador),6,,,0,60,South America,Ecuador,Tungurahua,Santiago de Pillaro,Pillaro,Pillaro,-1.1733,-78.5452,1,El Heraldo (Ecuador),National,"On 17 September 2020, in Pillaro, Tungurahua, a group of feminist activists and citizens marched through the city against recent cases of sexual violence against women, and demanding justice for these cases. [size=no report]",0,1600726063,ECU
7228776,218,ECU713,713,2020-09-17,2020,1,Protests,Peaceful protest,Protesters (Ecuador),,6,,,0,60,South America,Ecuador,Guayas,Guayaquil,Guayaquil,Guayaquil,-2.1962,-79.8862,1,Expreso,National,"On 17 September 2020, in Guayaquil, Guayas, a group of motorcycle drivers staged a demonstration outside Barcelona stadium to complain about the new transit restrictions announced by the mayor, that prohibits 2 people on a motorcycle. [size=no report]",0,1600726063,ECU
7228713,218,ECU704,704,2020-09-16,2020,1,Protests,Peaceful protest,Protesters (Ecuador),FEUE: Federation of University Students of Ecuador; CUT: Unitary Workers' Union; Students (Ecuador); Labour Group (Ecuador),6,,,0,60,South America,Ecuador,Tungurahua,Ambato,Ambato,Ambato,-1.2491,-78.6168,1,El Heraldo (Ecuador),National,"On 16 September 2020, in Ambato, Tungurahua, members of the Federation of University Students of Ecuador (FEUE), Unitary Workers' Union (CUT), ADEUTA, ASEUTA, APUA, Solidaridad and Primero de Mayo unions marched through the city against the budget cuts on public universities budget due to the economic impact of the coronavirus pandemic lockdown measures. [size=no report]",0,1600726063,ECU
7228725,218,ECU706,706,2020-09-16,2020,1,Protests,Peaceful protest,Protesters (Ecuador),FUT: United Workers' Front; Labour Group (Ecuador); Students (Ecuador),6,,,0,60,South America,Ecuador,Azuay,Cuenca,Cuenca,Cuenca,-2.9006,-79.0045,1,El Mercurio (Ecuador),National,"On 16 September 2020, in Cuenca, Azuay, members of the United Workers' Front (FUT) and students of the Cuenca University staged a demonstration in Calderon Park, in front of the Azuay provincial government offices, to reject the economic measures implemented by the government including the public university budget cuts, due to the economic impact caused by the coronavirus pandemic lockdown measures. [size=no report]",0,1600726063,ECU
7228761,218,ECU705,705,2020-09-16,2020,1,Protests,Peaceful protest,Protesters (Ecuador),Labour Group (Ecuador),6,,,0,60,South America,Ecuador,Carchi,Bolivar,Bolivar,Bolivar,0.5024,-77.9041,1,El Universo (Ecuador),National,"On 16 September 2020, in Bolivar, Carchi, workers staged a demonstration against the economic measures taken by the government, the layoffs of workers, delayed payments and budget cuts of public universities, implemented due to the economic impact caused by the coronavirus pandemic. [size=no report]",0,1600726063,ECU
7228762,218,ECU707,707,2020-09-16,2020,1,Protests,Peaceful protest,Protesters (Ecuador),Labour Group (Ecuador),6,,,0,60,South America,Ecuador,Carchi,Espejo,El Angel,El Angel,0.6208,-77.9397,1,El Universo (Ecuador),National,"On 16 September 2020, in El Angel, Carchi, workers staged a demonstration against the economic measures taken by the government, the layoffs of workers, delayed payments and budget cuts of public universities, due to the economic impact caused by the coronavirus pandemic lockdown measures. [size=no report]",0,1600726063,ECU
7228763,218,ECU708,708,2020-09-16,2020,1,Protests,Peaceful protest,Protesters (Ecuador),Labour Group (Ecuador),6,,,0,60,South America,Ecuador,Guayas,Guayaquil,Guayaquil,Guayaquil,-2.1962,-79.8862,1,El Universo (Ecuador),National,"On 16 September 2020, in Guayaquil, Guayas, a group of state services providers staged a demonstration outside the Guayas provincial government, to reject the usage of State Bonds as payments for owed salaries. [size=no report]",0,1600726063,ECU
