data_id,iso,event_id_cnty,event_id_no_cnty,event_date,year,time_precision,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,timestamp,iso3
,,#event+code,,#date+occurred,#date+year,,#event+type,,#group+name+first,#group+name+first+assoc,,#group+name+second,#group+name+second+assoc,,,#region+name,#country+name,#adm1+name,#adm2+name,#adm3+name,#loc+name,#geo+lat,#geo+lon,,#meta+source,,#description,#affected+killed,,#country+code
7228682,862,VEN5204,5204,2020-09-18,2020,1,Protests,Peaceful protest,Protesters (Venezuela),Health Workers (Venezuela),6,,,0,60,South America,Venezuela,Carabobo,Valencia,,Valencia,10.1620,-68.0077,1,El Carabobeno,Subnational,"On 18 September 2020, in Valencia, Carabobo state, a group of doctors and nurses from the City Hospital Dr. Enrique Tejera protested to demand the release of a doctor who was arrested for the illegal trade of medicines for coronavirus. Protesters informed that the doctor is innocent. This was the second day of protests. [size=no report]",0,1600726063,VEN
7228971,862,VEN5203,5203,2020-09-18,2020,1,Protests,Peaceful protest,Protesters (Venezuela),Labour Group (Venezuela),6,,,0,60,South America,Venezuela,Delta Amacuro,Tucupita,,Tucupita,9.0581,-62.0500,1,Periodico del Delta,Subnational,"On 18 September 2020, in Tucupita, Delta Amacuro state, a group of merchants blocked a road to demand the distribution of fuel. [size=no report]",0,1600726063,VEN
7228651,862,VEN5202,5202,2020-09-18,2020,1,Explosions/Remote violence,Remote explosive/landmine/IED,Unidentified Gang and/or Colectivo,,3,Civilians (Venezuela),Health Workers (Venezuela),7,37,South America,Venezuela,Zulia,Maracaibo,,Maracaibo,10.6666,-71.6125,1,Diario Panorama,Subnational,"On 18 September 2020, in Maracaibo, Zulia state, members of a suspected organized criminal group threw an explosive toward the clinic Paraiso. 3 people were injured during the explosion. There are no reports on the identity of the perpetrators nor crime motivation. No fatalities.",0,1600726063,VEN
7228741,862,VEN5193,5193,2020-09-17,2020,1,Protests,Peaceful protest,Protesters (Venezuela),Labour Group (Venezuela),6,,,0,60,South America,Venezuela,Zulia,Cabimas,,Cabimas,10.3991,-71.4521,1,El Pitazo,National,"On 17 September 2020, in Cabimas, Zulia state, active workers and pensioners from the state oil company PDVSA protested due to low salaries and the lack of medical insurance, on the Independencia Avenue. [size=no report]",0,1600726063,VEN
7228743,862,VEN5199,5199,2020-09-17,2020,1,Protests,Peaceful protest,Protesters (Venezuela),,6,,,0,60,South America,Venezuela,Zulia,Maracaibo,,Maracaibo,10.6666,-71.6125,1,El Pitazo,National,"On 17 September 2020, in Maracaibo, Zulia state, at least 50 residents from various communities including San Jacinto and Ziruma protested in front of the office of the state electric company Corpoelec to demand electric power, in the El Amparo sector. Protesters rejected the constant electric rationing schedules. [size=at least 50]",0,1600726063,VEN
7228745,862,VEN5201,5201,2020-09-17,2020,1,Protests,Peaceful protest,Protesters (Venezuela),Health Workers (Venezuela),6,,,0,60,South America,Venezuela,Carabobo,Valencia,,Valencia,10.1620,-68.0077,1,El Pitazo,National,"On 17 September 2020, in Valencia, Carabobo state, a group of doctors and nurses from the City Hospital Dr. Enrique Tejera protested to demand the release of a doctor who was arrested for the illegal trade of medicines for coronavirus. Protesters informed that the doctor is innocent. This was the first day of protests. [size=no report]",0,1600726063,VEN
7228746,862,VEN5198,5198,2020-09-17,2020,1,Protests,Peaceful protest,Protesters (Venezuela),,6,,,0,60,South America,Venezuela,Miranda,Zamora,,Guatire,10.4740,-66.5424,1,El Pitazo,National,"On 17 September 2020, in Guatire, Miranda state, a group of people blocked a national highway to demand the distribution of fuel. CPNB and municipal officers were present trying to reopened the highway. Protesters waited 48 hours in a queue to receive fuel. [size=no report]",0,1600726063,VEN
7228747,862,VEN5194,5194,2020-09-17,2020,1,Protests,Peaceful protest,Protesters (Venezuela),,6,,,0,60,South America,Venezuela,Zulia,Cabimas,,Cabimas,10.3991,-71.4521,1,El Pitazo,National,"On 17 September 2020, in Cabimas, Zulia state, at least 200 residents protested to demand electric power. Protesters informed that their quality of life has decreased due to constant problems related to basic services such as potable water, electricity, and domestic gas. [size=at least 200]",0,1600726063,VEN
7228653,862,VEN5196,5196,2020-09-17,2020,2,Protests,Peaceful protest,Protesters (Venezuela),,6,,,0,60,South America,Venezuela,Bolivar,Caroni,,Ciudad Guayana,8.2950,-62.7191,1,Diario Primicia,Subnational,"Around 17 September 2020, in Ciudad Guayana, Bolivar state, residents from the Las Casitas del Core 8 sector protested on the Caracas Avenue to demand potable water and domestic gas. Protesters informed that they have not received water through the pipes in more than 40 days. [size=no report]",0,1600726063,VEN
7228654,862,VEN5195,5195,2020-09-17,2020,1,Protests,Peaceful protest,Protesters (Venezuela),,6,,,0,60,South America,Venezuela,Bolivar,Heres,,Ciudad Bolivar,8.1292,-63.5409,1,Diario Primicia,Subnational,"On 17 September 2020, in Ciudad Bolivar, Bolivar state, residents from La Macarena, Peru Viejo, and El Eden sectors protested on the Angostura bridge to demand potable water and domestic gas. [size=no report]",0,1600726063,VEN
7228910,862,VEN5197,5197,2020-09-17,2020,1,Protests,Peaceful protest,Protesters (Venezuela),,6,,,0,60,South America,Venezuela,Sucre,Montes,,Cumanacoa,10.2505,-63.9193,1,La Patilla,National,"On 17 September 2020, in Cumanacoa, Sucre state, residents protested against the Mayor after they have waited for two weeks to receive fuel. [size=no report]",0,1600726063,VEN
7228658,862,VEN5192,5192,2020-09-17,2020,1,Protests,Peaceful protest,Protesters (Venezuela),,6,,,0,60,South America,Venezuela,Lara,Iribarren,,Barquisimeto,10.0647,-69.3570,1,Efecto Cocuyo,National,"On 17 September 2020, in Barquisimeto, Lara state, dozens of people blocked a road to demand the distribution of fuel. [size=dozens]",0,1600726063,VEN
